,id,book_id,title,authors,decade_year
0,1,2767052,"The Hunger Games (The Hunger Games, #1)",author_suzanne_collins,decade_2000s
1,2,3,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",author_jk_rowling author_mary_grandpr,decade_1990s
2,3,41865,"Twilight (Twilight, #1)",author_stephenie_meyer,decade_2000s
3,4,2657,To Kill a Mockingbird,author_harper_lee,decade_1960s
4,5,4671,The Great Gatsby,author_f_scott_fitzgerald,decade_1920s
5,6,11870085,The Fault in Our Stars,author_john_green,decade_2010s
6,7,5907,The Hobbit,author_jrr_tolkien,decade_1930s
7,8,5107,The Catcher in the Rye,author_jd_salinger,decade_1950s
8,9,960,"Angels & Demons  (Robert Langdon, #1)",author_dan_brown,decade_2000s
9,10,1885,Pride and Prejudice,author_jane_austen,decade_1810s
10,11,77203,The Kite Runner,author_khaled_hosseini,decade_2000s
11,12,13335037,"Divergent (Divergent, #1)",author_veronica_roth,decade_2010s
12,13,5470,1984,author_george_orwell author_erich_fromm author_cell_ster,decade_1940s
13,14,7613,Animal Farm,author_george_orwell,decade_1940s
14,15,48855,The Diary of a Young Girl,author_anne_frank author_eleanor_roosevelt author_bm_mooyaartdoubleday,decade_1940s
15,16,2429135,"The Girl with the Dragon Tattoo (Millennium, #1)",author_stieg_larsson author_reg_keeland,decade_2000s
16,17,6148028,"Catching Fire (The Hunger Games, #2)",author_suzanne_collins,decade_2000s
17,18,5,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",author_jk_rowling author_mary_grandpr author_rufus_beck,decade_1990s
18,19,34,"The Fellowship of the Ring (The Lord of the Rings, #1)",author_jrr_tolkien,decade_1950s
19,20,7260188,"Mockingjay (The Hunger Games, #3)",author_suzanne_collins,decade_2010s
20,21,2,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",author_jk_rowling author_mary_grandpr,decade_2000s
21,22,12232938,The Lovely Bones,author_alice_sebold,decade_2000s
22,23,15881,"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",author_jk_rowling author_mary_grandpr,decade_1990s
23,24,6,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",author_jk_rowling author_mary_grandpr,decade_2000s
24,25,136251,"Harry Potter and the Deathly Hallows (Harry Potter, #7)",author_jk_rowling author_mary_grandpr,decade_2000s
25,26,968,"The Da Vinci Code (Robert Langdon, #2)",author_dan_brown,decade_2000s
26,27,1,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",author_jk_rowling author_mary_grandpr,decade_2000s
27,28,7624,Lord of the Flies,author_william_golding,decade_1950s
28,29,18135,Romeo and Juliet,author_william_shakespeare author_robert___________jackson,decade_1590s
