,id,book_id,title,authors,decade_year,raw_authors,raw_year,image_url
0,1,2767052,"The Hunger Games (The Hunger Games, #1)",author_suzanne_collins,decade_2000s,Suzanne Collins,2008.0,https://images.gr-assets.com/books/1447303603m/2767052.jpg
1,2,3,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",author_jk_rowling author_mary_grandpr,decade_1990s,"J.K. Rowling, Mary GrandPré",1997.0,https://images.gr-assets.com/books/1474154022m/3.jpg
2,3,41865,"Twilight (Twilight, #1)",author_stephenie_meyer,decade_2000s,Stephenie Meyer,2005.0,https://images.gr-assets.com/books/1361039443m/41865.jpg
3,4,2657,To Kill a Mockingbird,author_harper_lee,decade_1960s,Harper Lee,1960.0,https://images.gr-assets.com/books/1361975680m/2657.jpg
4,5,4671,The Great Gatsby,author_f_scott_fitzgerald,decade_1920s,F. Scott Fitzgerald,1925.0,https://images.gr-assets.com/books/1490528560m/4671.jpg
5,6,11870085,The Fault in Our Stars,author_john_green,decade_2010s,John Green,2012.0,https://images.gr-assets.com/books/1360206420m/11870085.jpg
6,7,5907,The Hobbit,author_jrr_tolkien,decade_1930s,J.R.R. Tolkien,1937.0,https://images.gr-assets.com/books/1372847500m/5907.jpg
7,8,5107,The Catcher in the Rye,author_jd_salinger,decade_1950s,J.D. Salinger,1951.0,https://images.gr-assets.com/books/1398034300m/5107.jpg
8,9,960,"Angels & Demons  (Robert Langdon, #1)",author_dan_brown,decade_2000s,Dan Brown,2000.0,https://images.gr-assets.com/books/1303390735m/960.jpg
9,10,1885,Pride and Prejudice,author_jane_austen,decade_1810s,Jane Austen,1813.0,https://images.gr-assets.com/books/1320399351m/1885.jpg
10,11,77203,The Kite Runner,author_khaled_hosseini,decade_2000s,Khaled Hosseini,2003.0,https://images.gr-assets.com/books/1484565687m/77203.jpg
11,12,13335037,"Divergent (Divergent, #1)",author_veronica_roth,decade_2010s,Veronica Roth,2011.0,https://images.gr-assets.com/books/1328559506m/13335037.jpg
12,13,5470,1984,author_george_orwell author_erich_fromm author_cell_ster,decade_1940s,"George Orwell, Erich Fromm, Celâl Üster",1949.0,https://images.gr-assets.com/books/1348990566m/5470.jpg
13,14,7613,Animal Farm,author_george_orwell,decade_1940s,George Orwell,1945.0,https://images.gr-assets.com/books/1424037542m/7613.jpg
14,15,48855,The Diary of a Young Girl,author_anne_frank author_eleanor_roosevelt author_bm_mooyaartdoubleday,decade_1940s,"Anne Frank, Eleanor Roosevelt, B.M. Mooyaart-Doubleday",1947.0,https://images.gr-assets.com/books/1358276407m/48855.jpg
15,16,2429135,"The Girl with the Dragon Tattoo (Millennium, #1)",author_stieg_larsson author_reg_keeland,decade_2000s,"Stieg Larsson, Reg Keeland",2005.0,https://images.gr-assets.com/books/1327868566m/2429135.jpg
16,17,6148028,"Catching Fire (The Hunger Games, #2)",author_suzanne_collins,decade_2000s,Suzanne Collins,2009.0,https://images.gr-assets.com/books/1358273780m/6148028.jpg
17,18,5,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",author_jk_rowling author_mary_grandpr author_rufus_beck,decade_1990s,"J.K. Rowling, Mary GrandPré, Rufus Beck",1999.0,https://images.gr-assets.com/books/1499277281m/5.jpg
18,19,34,"The Fellowship of the Ring (The Lord of the Rings, #1)",author_jrr_tolkien,decade_1950s,J.R.R. Tolkien,1954.0,https://images.gr-assets.com/books/1298411339m/34.jpg
19,20,7260188,"Mockingjay (The Hunger Games, #3)",author_suzanne_collins,decade_2010s,Suzanne Collins,2010.0,https://images.gr-assets.com/books/1358275419m/7260188.jpg
20,21,2,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",author_jk_rowling author_mary_grandpr,decade_2000s,"J.K. Rowling, Mary GrandPré",2003.0,https://images.gr-assets.com/books/1387141547m/2.jpg
21,22,12232938,The Lovely Bones,author_alice_sebold,decade_2000s,Alice Sebold,2002.0,https://images.gr-assets.com/books/1457810586m/12232938.jpg
22,23,15881,"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",author_jk_rowling author_mary_grandpr,decade_1990s,"J.K. Rowling, Mary GrandPré",1998.0,https://images.gr-assets.com/books/1474169725m/15881.jpg
23,24,6,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",author_jk_rowling author_mary_grandpr,decade_2000s,"J.K. Rowling, Mary GrandPré",2000.0,https://images.gr-assets.com/books/1361482611m/6.jpg
24,25,136251,"Harry Potter and the Deathly Hallows (Harry Potter, #7)",author_jk_rowling author_mary_grandpr,decade_2000s,"J.K. Rowling, Mary GrandPré",2007.0,https://images.gr-assets.com/books/1474171184m/136251.jpg
25,26,968,"The Da Vinci Code (Robert Langdon, #2)",author_dan_brown,decade_2000s,Dan Brown,2003.0,https://images.gr-assets.com/books/1303252999m/968.jpg
26,27,1,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",author_jk_rowling author_mary_grandpr,decade_2000s,"J.K. Rowling, Mary GrandPré",2005.0,https://images.gr-assets.com/books/1361039191m/1.jpg
27,28,7624,Lord of the Flies,author_william_golding,decade_1950s,William Golding,1954.0,https://images.gr-assets.com/books/1327869409m/7624.jpg
28,29,18135,Romeo and Juliet,author_william_shakespeare author_robert___________jackson,decade_1590s,"William Shakespeare, Robert           Jackson",1595.0,https://images.gr-assets.com/books/1327872146m/18135.jpg
29,30,8442457,Gone Girl,author_gillian_flynn,decade_2010s,Gillian Flynn,2012.0,https://images.gr-assets.com/books/1339602131m/8442457.jpg
30,31,4667024,The Help,author_kathryn_stockett,decade_2000s,Kathryn Stockett,2009.0,https://images.gr-assets.com/books/1346100365m/4667024.jpg
31,32,890,Of Mice and Men,author_john_steinbeck,decade_1930s,John Steinbeck,1937.0,https://images.gr-assets.com/books/1437235233m/890.jpg
32,33,930,Memoirs of a Geisha,author_arthur_golden,decade_1990s,Arthur Golden,1997.0,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
33,34,10818853,"Fifty Shades of Grey (Fifty Shades, #1)",author_el_james,decade_2010s,E.L. James,2011.0,https://images.gr-assets.com/books/1385207843m/10818853.jpg
34,35,865,The Alchemist,author_paulo_coelho author_alan_r_clarke,decade_1980s,"Paulo Coelho, Alan R. Clarke",1988.0,https://images.gr-assets.com/books/1483412266m/865.jpg
35,36,3636,"The Giver (The Giver, #1)",author_lois_lowry,decade_1990s,Lois Lowry,1993.0,https://images.gr-assets.com/books/1342493368m/3636.jpg
36,37,100915,"The Lion, the Witch, and the Wardrobe (Chronicles of Narnia, #1)",author_cs_lewis,decade_1950s,C.S. Lewis,1950.0,https://images.gr-assets.com/books/1353029077m/100915.jpg
37,38,14050,The Time Traveler's Wife,author_audrey_niffenegger,decade_2000s,Audrey Niffenegger,2003.0,https://images.gr-assets.com/books/1437728815m/14050.jpg
38,39,13496,"A Game of Thrones (A Song of Ice and Fire, #1)",author_george_rr_martin,decade_1990s,George R.R. Martin,1996.0,https://images.gr-assets.com/books/1436732693m/13496.jpg
39,40,19501,"Eat, Pray, Love",author_elizabeth_gilbert,decade_2000s,Elizabeth Gilbert,2006.0,https://images.gr-assets.com/books/1503066414m/19501.jpg
40,41,28187,"The Lightning Thief (Percy Jackson and the Olympians, #1)",author_rick_riordan,decade_2000s,Rick Riordan,2005.0,https://images.gr-assets.com/books/1400602609m/28187.jpg
41,42,1934,"Little Women (Little Women, #1)",author_louisa_may_alcott,decade_1860s,Louisa May Alcott,1868.0,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
42,43,10210,Jane Eyre,author_charlotte_bront author_michael_mason,decade_1840s,"Charlotte Brontë, Michael Mason",1847.0,https://images.gr-assets.com/books/1327867269m/10210.jpg
43,44,15931,"The Notebook (The Notebook, #1)",author_nicholas_sparks,decade_1990s,Nicholas Sparks,1996.0,https://images.gr-assets.com/books/1385738917m/15931.jpg
44,46,43641,Water for Elephants,author_sara_gruen,decade_2000s,Sara Gruen,2006.0,https://images.gr-assets.com/books/1494428973m/43641.jpg
45,47,19063,The Book Thief,author_markus_zusak,decade_2000s,Markus Zusak,2005.0,https://images.gr-assets.com/books/1390053681m/19063.jpg
46,49,49041,"New Moon (Twilight, #2)",author_stephenie_meyer,decade_2000s,Stephenie Meyer,2006.0,https://images.gr-assets.com/books/1361039440m/49041.jpg
47,50,30119,Where the Sidewalk Ends,author_shel_silverstein,decade_1970s,Shel Silverstein,1974.0,https://images.gr-assets.com/books/1168052448m/30119.jpg
48,51,256683,"City of Bones (The Mortal Instruments, #1)",author_cassandra_clare,decade_2000s,Cassandra Clare,2007.0,https://images.gr-assets.com/books/1432730315m/256683.jpg
49,52,428263,"Eclipse (Twilight, #3)",author_stephenie_meyer,decade_2000s,Stephenie Meyer,2007.0,https://images.gr-assets.com/books/1361038355m/428263.jpg
50,53,113436,"Eragon (The Inheritance Cycle, #1)",author_christopher_paolini,decade_2000s,Christopher Paolini,2002.0,https://images.gr-assets.com/books/1366212852m/113436.jpg
51,54,11,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",author_douglas_adams,decade_1970s,Douglas Adams,1979.0,https://images.gr-assets.com/books/1327656754m/11.jpg
