,id,book_id,title,authors,decade_year,tag_name,tag_length
0,1,2767052,"The Hunger Games (The Hunger Games, #1)",author_suzanne_collins,decade_2000s,"young_adult, fiction, dystopian, dystopia, fantasy, science_fiction, sci, series, romance, adventure",100
1,2,3,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",author_jk_rowling author_mary_grandpr,decade_1990s,"fantasy, young_adult, fiction, harry_potter, series, magic, childrens, child, adventure, classic",96
2,3,41865,"Twilight (Twilight, #1)",author_stephenie_meyer,decade_2000s,"young_adult, fantasy, vampire, fiction, paranormal, vampire, twilight, paranormal_romance, supernatural, teen",109
3,4,2657,To Kill a Mockingbird,author_harper_lee,decade_1960s,"classic, classic, historical_fiction, school, classic, literature, young_adult, historical, novel, all_time",107
4,5,4671,The Great Gatsby,author_f_scott_fitzgerald,decade_1920s,"classic, fiction, classic, literature, school, historical_fiction, romance, novel, american_literature, high_school",115
5,6,11870085,The Fault in Our Stars,author_john_green,decade_2010s,"young_adult, fiction, romance, contemporary, realistic_fiction, john_green, made_cry, teen, fiction, cancer",107
6,7,5907,The Hobbit,author_jrr_tolkien,decade_1930s,"fantasy, classic, fiction, classic, adventure, young_adult, sci_fantasy, tolkien, high_fantasy, childrens",105
7,8,5107,The Catcher in the Rye,author_jd_salinger,decade_1950s,"classic, fiction, classic, young_adult, literature, classic, school, novel, coming_age, american",96
8,9,960,"Angels & Demons  (Robert Langdon, #1)",author_dan_brown,decade_2000s,"fiction, mystery, thriller, dan_brown, suspense, series, adventure, mystery_thriller, historical_fiction, crime",111
9,10,1885,Pride and Prejudice,author_jane_austen,decade_1810s,"classic, fiction, romance, classic, historical_fiction, literature, historical, jane_austen, classic, all_time",110
10,11,77203,The Kite Runner,author_khaled_hosseini,decade_2000s,"fiction, historical_fiction, contemporary, afghanistan, classic, novel, literature, adult, middle_east, adult_fiction",117
11,12,13335037,"Divergent (Divergent, #1)",author_veronica_roth,decade_2010s,"young_adult, dystopian, fiction, fantasy, science_fiction, series, romance, sci, divergent, adventure",101
12,13,5470,1984,author_george_orwell author_erich_fromm author_cell_ster,decade_1940s,"fiction, science_fiction, sci, dystopian, classic, literature, novel, politics, school, scifi",93
13,14,7613,Animal Farm,author_george_orwell,decade_1940s,"classic, fiction, classic, dystopia, fantasy, literature, dystopian, school, politics, science_fiction",102
